channel,watch_time_minutes,stream_time_minutes,peak_viewers,average_viewers,followers,followers_gained,views_gained,partnered,mature,language,tier,engagement_rate,viewer_retention,growth_rate,watch_efficiency,views_per_follower,quality_score,is_mega,is_top_quartile
Chess,521511525,96315,83666,5767,326118,181232,84500786,True,False,English,Elite,0.017683783170508834,0.06892883608634331,1.8816591392825623,5414.644915122255,259.11107635886395,0.04560213722380486,0,0
72hrs,519458565,136515,30702,3756,1024814,315190,12051692,True,False,English,Mega,0.0036650553173551495,0.1223373070158296,2.308830531443431,3805.139105592792,11.759882281077347,0.06732759882542273,1,1
TwitchRivals,516113670,36555,109148,14509,999480,644684,71159574,True,False,English,Large,0.014516548605274742,0.13292960017590794,17.636000547120776,14118.82560525236,71.19659623003962,0.10464751935900009,0,1
狂暴小建 (a541021),516009420,166575,8337,3105,207369,18023,18201933,True,False,Chinese,Elite,0.014973308450154073,0.3724361281036344,0.10819750862974636,3097.760288158487,87.77557397682392,0.20216974919424546,0,0
hashinshin,515812965,192255,12540,2483,570621,159892,11386166,True,False,English,Large,0.004351399615506615,0.19800637958532696,0.8316662765597774,2682.9625497386282,19.95399047704168,0.10531706219487076,0,0
JoshOG,510984165,159300,85051,2957,1748928,120782,20688501,True,False,English,Mega,0.0016907499908515387,0.03476737486919613,0.7582046453232894,3207.684651600753,11.829246830058183,0.01721035487454056,1,1
B0aty,510323715,151215,22375,3152,516113,49577,8448691,True,True,English,Large,0.006107189704580199,0.14087150837988827,0.32785768607611676,3374.8220414641405,16.369847300881784,0.07507230288771216,0,0
AustinShow,509643945,21000,72199,24739,840624,378656,11648873,True,True,English,Large,0.02942932868916424,0.342650175210183,18.031238095238095,24268.759285714284,13.857411874988104,0.2243637596841963,0,1
39daph,509052375,135495,12648,3766,505362,470589,8983449,True,False,English,Large,0.00745208385276297,0.2977545857052498,3.4731097088453446,3756.9827299900367,17.776265330594704,0.16433561024495116,0,0
scump,506838930,71355,79976,6789,893010,275270,8661072,True,False,English,Large,0.007602378472805455,0.08488796638991697,3.8577534860906733,7103.061173008198,9.698740215675077,0.0521515578394477,0,1
플러리 (flurry1989),505333050,128790,12084,3859,169505,51935,10969148,True,False,Korean,Elite,0.022766290079938644,0.3193478980470043,0.4032533581799829,3923.6978802702074,64.71282853013186,0.17858502225790762,0,0
Kyle,501208575,161295,9339,3059,182260,60506,5692219,True,True,English,Elite,0.016783715571162077,0.32755112967127104,0.3751263213366812,3107.403050311541,31.231312410841653,0.1797603106225276,0,0
